it took 2.7 hours to brute force the answer
doing ~808 billion operations over 10 seconds

TimeStamp:96788338113710 Diff:824907059303 DC:14
TimeStamp:97616290093236 Diff:827942727131 DC:14
TimeStamp:98437731213185 Diff:821421588651 DC:14
TimeStamp:99257598543716 Diff:819858940571 DC:14
TimeStamp:100083609301055 Diff:825990483806 DC:15
TimeStamp:100901856379459 Diff:818153093423 DC:15
TimeStamp:101721448695996 Diff:819464756090 DC:15
TimeStamp:102547739259102 Diff:826173705267 DC:15
TimeStamp:103370600555874 Diff:822746350714 DC:15
TimeStamp:104190747496847 Diff:820057039186 DC:15
TimeStamp:105012402599841 Diff:821526217943 DC:15
TimeStamp:105819380292988 Diff:806869667604 DC:15
TimeStamp:106635419707274 Diff:815999747685 DC:15
TimeStamp:107456225238471 Diff:820708299614 DC:15
TimeStamp:108275657253884 Diff:819210938164 DC:15
TimeStamp:109096748941615 Diff:821001948815 DC:15
TimeStamp:109918385571672 Diff:821533819992 DC:15
TimeStamp:110739782534949 Diff:821379346765 DC:15
TimeStamp:111558771848954 Diff:818908211459 DC:15
TimeStamp:112378480766102 Diff:819614113004 DC:15
TimeStamp:113197511588773 Diff:818934678898 DC:15
TimeStamp:114014906459394 Diff:817267278922 DC:15
TimeStamp:114830063761339 Diff:815059497008 DC:15
TimeStamp:115643737532046 Diff:813468151178 DC:15
TimeStamp:116451562678465 Diff:807722698156 DC:15
TimeStamp:117274215663829 Diff:822532474046 DC:15
TimeStamp:118094369159308 Diff:820075042141 DC:15
TimeStamp:118914276349962 Diff:819778077223 DC:15
TimeStamp:119741449290450 Diff:827074518324 DC:15
TimeStamp:120564949075799 Diff:823410612575 DC:15
TimeStamp:121384256435398 Diff:819215288202 DC:15
TimeStamp:122208797414182 Diff:824447446957 DC:15
TimeStamp:123030645261482 Diff:821744992761 DC:15
TimeStamp:123849432486833 Diff:818698368102 DC:15
TimeStamp:124666828225899 Diff:817312114724 DC:15
TimeStamp:125480968875643 Diff:814014949392 DC:15
TimeStamp:126287421673420 Diff:806342459586 DC:15
TimeStamp:127101074976471 Diff:813317932430 DC:15
TimeStamp:127916341177212 Diff:815149738360 DC:15
TimeStamp:128733750941214 Diff:817352019922 DC:15
TimeStamp:129545591671537 Diff:811721007517 DC:15
TimeStamp:130368135259876 Diff:822448117085 DC:15
TimeStamp:131181840854134 Diff:813599442032 DC:15
TimeStamp:132006140879998 Diff:824199792286 DC:15
TimeStamp:132818323749404 Diff:812074956851 DC:15
TimeStamp:133634073778584 Diff:815698726618 DC:15
TimeStamp:134452912853407 Diff:818611894419 DC:15
TimeStamp:135269283122400 Diff:816320780249 DC:15
TimeStamp:136088001799494 Diff:818677596340 DC:15
TimeStamp:136905339239156 Diff:817255131510 DC:15
TimeStamp:137718667952925 Diff:813213180534 DC:15
TimeStamp:138525047715980 Diff:806268521561 DC:15
TimeStamp:139340564314957 Diff:815386772760 DC:15
TimeStamp:140155912679009 Diff:815247796919 DC:15
TimeStamp:140969730796694 Diff:813730614489 DC:15
TimeStamp:141790465126219 Diff:820638011462 DC:15
TimeStamp:142604932304672 Diff:814356583635 DC:15
TimeStamp:143407755643015 Diff:802696856691 DC:15
TimeStamp:144226017577538 Diff:818159755508 DC:15
